item_id,set,question_id,sentence
Set1_Q17,Set 1,QID683,"<span style=""font-size:19px;""><span style=""color:#000000;"">Nilikuwa<u> <strong>caregiver</strong></u> na mgonjwa wangu alipopoteza hisia ya kukula ilibidi nimtafutie matunda ale ndio arudishe hisia ya kula.</span></span>"
Set1_Q18,Set 1,QID684,Which option best describes the bolded and underlined word in the sentence above?
Set1_Q19,Set 1,QID734,"<span style=""color:#000000;""><span style=""font-size:19px;"">Niiweza kuchambua ripoti ya uchunguzi wa oedema inayoletwa na viwango vya juu vya <u><strong>homoni </strong></u>za Thyroid Gland.</span></span>"
Set1_Q20,Set 1,QID735,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q1,Set 2,QID787,"<span style=""color:#000000;""><span style=""font-size:19px;"">Wakati nimeungua mimi hua na wasiwasi isiwe ni kitu kubwa sana itakayo nihitaji nishinde hospitali, pia mimi <u><strong>huongopa</strong></u> shindano.</span></span>"
Set2_Q2,Set 2,QID788,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q3,Set 2,QID768,"<span style=""color:#000000;""><span style=""font-size:19px;"">Always kusoma vitabu na pia kuona telivisheni na kusoma <u><strong>article</strong></u> zinazongelelea magonjwa pia kuuliza daktari.</span></span>"
Set2_Q4,Set 2,QID769,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q5,Set 2,QID527,"<span style=""font-size:19px;""><span style=""color:#000000;"">Kuna <u><strong>hospitali</strong></u><strong><span style=""color:#e74c3c;""> </span></strong>ambazo hazizingatii maagizo ya kiafya na pia hazina vifaa maalum za kupima ugonjwa kwa hivyo hunifanya kuwa na hofu ya kutopata matibabu bora.</span></span>"
Set2_Q6,Set 2,QID528,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q7,Set 2,QID762,"<span style=""color:#000000;""><span style=""font-size:19px;"">Maana wakati mwingine namwelezea vitu ambavyo ni private sana na siwezi kumtrust completely alafu pia naogopa <u><strong>end results</strong></u>.</span></span>"
Set2_Q8,Set 2,QID763,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q9,Set 2,QID134,"<span style=""color:#000000;""><span style=""font-size:19px;"">Wakati <u><strong>nimeungua</strong></u> mimi hua na wasiwasi isiwe ni kitu kubwa sana itakayo nihitaji nishinde hospitali, pia mimi huongopa shindano.</span></span>"
Set2_Q10,Set 2,QID410,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q11,Set 2,QID521,"<span style=""color:#000000;""><span style=""font-size:19px;"">Daktari wangu mara kwa mara anazingatia </span><u><strong><span style=""font-size:19px;"">historia</span></strong></u><span style=""font-size:19px;""> kamili ya mwili wangu kuhusiana na ule ugonjwa au unyonge ninaohisi.</span></span>"
Set2_Q12,Set 2,QID522,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q13,Set 2,QID667,"<span style=""font-size:19px;"">Kwa asilimia kubwa zaidi kwa maana mimi huhakikisha nimeingia kwa <strong><u><span style=""color:#000000;"">internet</span></u><span style=""color:#f39c12;""> </span></strong>ili kudhibitisha taarifa za daktari.</span>"
Set2_Q14,Set 2,QID668,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q15,Set 2,QID545,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kikao kilipokea maoni chanya, na watu kadhaa waliamua kuchunguzwa katika </span><strong><span style=""font-size:19px;""><u>kliniki</u></span></strong><strong><span style=""color:#e74c3c;""><span style=""font-size:19px;""> </span></span></strong><span style=""font-size:19px;"">ya eneo hilo.</span></span>"
Set2_Q16,Set 2,QID546,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q17,Set 2,QID433,"<span style=""color:#000000;""><span style=""font-size:19px;"">Mimi namwamini dakitari wangu kabisa kwa sababu kwa huo muda wote ambao amekua akinitibu maamuzi na </span></span><strong><u><span style=""color:#000000;""><span style=""font-size:19px;"">mawaitha</span></span></u><span style=""color:#3498db;""><span style=""font-size:19px;""> </span></span></strong><span style=""color:#000000;""><span style=""font-size:19px;"">yake yamukua ya manufaa kwangu.</span></span>"
Set2_Q18,Set 2,QID434,Which option best describes the bolded and underlined word in the sentence above?
Set2_Q19,Set 2,QID599,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilishiriki kampeni ya kuhamasisha umuhimu wa <u><strong>mammografia</strong></u>, ambapo nilisaidia wanawake kuelewa faida ya uchunguzi wa mapema wa saratani ya matiti.</span></span>"
Set2_Q20,Set 2,QID600,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q1,Set 3,QID423,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nina matuamaini ya kwamba naweza kujitolea <u><strong>kusaindia</strong></u> wanaohitaji usaindizi sana sana mle vijijini haswa wamama na watoto</span></span>"
Set3_Q2,Set 3,QID424,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q3,Set 3,QID736,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nasoma vitabu vya afya na kufuatilia suala la afya kwenye programu za televisheni. Naenda <u><strong>hospitalini</strong></u> pia kuulizia wauguzi na daktari pia.</span></span>"
Set3_Q4,Set 3,QID737,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q5,Set 3,QID679,"<span style=""color:#000000;""><span style=""font-size:19px;"">Wakati mama yangu alikuwa mgonjwa sana na angeweza kujisomea akaanfikiwa ya kwamba akona </span><u><strong><span style=""font-size:19px;"">bacteria</span></strong></u><span style=""font-size:19px;"">, yeye akafikiri ni ukimwi.</span></span>"
Set3_Q6,Set 3,QID680,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q7,Set 3,QID723,"<span style=""color:#000000;""><span style=""font-size:19px;"">Sina uwezo wa kuonyesha </span><u><strong><span style=""font-size:19px;"">nimeivia</span></strong></u><span style=""font-size:19px;""> katika sector ya afya. Mi sina kisomo cha maana kinachoniwezesha kuwa mhundumu wa afya,ninategemea tu daktari sina uwezo.</span></span>"
Set3_Q8,Set 3,QID724,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q9,Set 3,QID533,"<span style=""font-size:19px;""><span style=""color:#000000;"">Asilimia 100 niko na uwezo wa kusoma taarifa au kujieleza kwa <u><strong>dakitari</strong></u> ninapohitaji matibabu au dawa kwa famasia. Niko na uwezo wa kuelewa maagizo ya dakitari.</span></span>"
Set3_Q10,Set 3,QID534,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q11,Set 3,QID633,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ni kwa <u><strong>hospital</strong></u> au pamasia kwenye karibu na ushago. Kingine ni kuangalia habari za afya kutoka Runinga, magazeti, inteneti na social media.</span></span>"
Set3_Q12,Set 3,QID634,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q13,Set 3,QID417,"<span style=""font-size:19px;""><span style=""color:#000000;"">Kwa kiwango cha juu kwa kupitia maelezo ninayo pata kutoka kwa </span><strong><u><span style=""color:#000000;"">madagtari</span></u><span style=""color:#3498db;""> </span></strong><span style=""color:#000000;"">na wahuguzi kwa sababu wako tayari kunipa maelezo yote ambayo niyoitaji</span></span>"
Set3_Q14,Set 3,QID418,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q15,Set 3,QID535,"<span style=""font-size:19px;""><span style=""color:#000000;"">Ninatoa maelezo kwa msingi ya ushahidi wa <u><strong>kisayansi</strong></u>,</span><span style=""color:#e74c3c;"">&nbsp;</span><span style=""color:#000000;"">maarifa ya awali niliyofundishwa na ufahamu wa jumla wa halisi.</span></span>"
Set3_Q16,Set 3,QID536,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q17,Set 3,QID761,"<span style=""color:#000000;""><span style=""font-size:19px;"">Maana wakati mwingine namwelezea vitu ambavyo ni private sana na siwezi kumtrust <u><strong>completely</strong></u> alafu pia naogopa end results.</span></span>"
Set3_Q18,Set 3,QID759,Which option best describes the bolded and underlined word in the sentence above?
Set3_Q19,Set 3,QID732,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kwa kusoma na kutazama televisheni huku nikisikiliza marafiki na <u><strong>familia</strong></u>, ndiyo maana nilijua masuala ya matibabu.</span></span>"
Set3_Q20,Set 3,QID733,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q1,Set 4,QID770,"<span style=""color:#000000;""><span style=""font-size:19px;"">Huwa nina wasiwasi ninapotuma kufamya scan ama <u><strong>x-ray</strong></u> juu huwa na jua ni mgojwa ambayo hangediagonise clinically.</span></span>"
Set4_Q2,Set 4,QID771,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q3,Set 4,QID565,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilishiriki katika </span><u><strong><span style=""font-size:19px;"">kampeni</span></strong></u><span style=""font-size:19px;""> ya afya ya jamii ambapo niliwaelimisha watu kuhusu umuhimu wa uchunguzi wa mapema wa magonjwa sugu kama kisukari na saratani.</span></span>"
Set4_Q4,Set 4,QID566,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q5,Set 4,QID411,"<span style=""font-size:19px;""><span style=""color:#000000;""><u><strong>Nawesa </strong></u>kupata 90% kwa sababu nafahamu maswali hayo vyema na pia lugha iliyotumika ni shwari mno pia nina fahamu mambo ya hosipitalini vyema.</span></span>"
Set4_Q6,Set 4,QID412,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q7,Set 4,QID685,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kiwahimiza mama wajawazito kijitokeza na kufanyiwa vipimo vya </span><u><strong><span style=""font-size:19px;"">mammograms</span></strong></u><span style=""font-size:19px;""> ili wajue Halifax zao za saratani za uke</span></span>"
Set4_Q8,Set 4,QID686,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q9,Set 4,QID551,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nasoma vitabu vya afya na kufuatilia suala la afya kwenye <u><strong>programu</strong></u> za televisheni. Naenda hospitalini pia kuulizia wauguzi na daktari pia.</span></span>"
Set4_Q10,Set 4,QID552,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q11,Set 4,QID681,"<span style=""color:#000000;""><span style=""font-size:19px;"">Tukio la kwenda hospitali nikiwa na ugonjwa ninaoujua.kisha kupelekwa kufanya </span><u><strong><span style=""font-size:19px;"">testing</span></strong></u><span style=""font-size:19px;""> nyingi zilizokula pesa mingi na sikuzihitaji kabisa.</span></span>"
Set4_Q12,Set 4,QID682,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q13,Set 4,QID742,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ikiwa ulikula nusu ya kontena, basi uwezekano ulikula takriban gramu 6 za wanga, ingawa maelezo sahihi kutoka kwa <u><strong>lebo</strong></u> yangekuwa bora zaidi.</span></span>"
Set4_Q14,Set 4,QID743,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q15,Set 4,QID122,"<span style=""color:#000000;""><span style=""font-size:19px;"">Mimi huwa naogopa kuenda hospitalini. Wakati ninapoamua kuenda huwa niko na wasiwasi. Mimi pia huogopa kudungwa <u><strong>shindano</strong></u> na kupewa matokeo.</span></span>"
Set4_Q16,Set 4,QID123,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q17,Set 4,QID772,"<span style=""color:#000000;""><span style=""font-size:19px;"">Huwa nina wasiwasi ninapotuma kufamya scan ama x-ray juu huwa na jua ni mgojwa ambayo <u><strong>hangediagonise</strong></u> clinically.</span></span>"
Set4_Q18,Set 4,QID773,Which option best describes the bolded and underlined word in the sentence above?
Set4_Q19,Set 4,QID593,"<span style=""color:#000000;""><span style=""font-size:19px;"">Mfumo huu uliruhusu madaktari</span></span><strong><span style=""color:#e74c3c;""><span style=""font-size:19px;""><span style=""color:#000000;""><span style=""font-size:19px;""> </span></span></span></span><u><span style=""color:#000000;""><span style=""font-size:19px;"">kurekodi</span></span></u><span style=""color:#e74c3c;""><span style=""font-size:19px;""> </span></span></strong><span style=""color:#000000;""><span style=""font-size:19px;"">na kufuatilia taarifa muhimu kama vipimo vya maabara na historia ya matibabu, kusaidia kufanya maamuzi sahihi ya kiafya.</span></span>"
Set4_Q20,Set 4,QID594,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q1,Set 5,QID431,"<span style=""color:#000000;""><span style=""font-size:19px;"">Huwa siwaamini madakitari wengine kwa sababu wao hunipa ujumbe ambao sio sahihi. Pili wao hunipa <u><strong>ndawa</strong></u> ambazo muda mwingine hazinisaidii.</span></span>"
Set5_Q2,Set 5,QID432,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q3,Set 5,QID611,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ninamwamini daktari wangu wa kawaida kwa sababu amehitimu na kupewa <u><strong>leseni</strong></u> hitajika ili kutoa huduma za afya.</span></span>"
Set5_Q4,Set 5,QID612,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q5,Set 5,QID663,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilipomfanyia mwanafunzi </span><u><strong><span style=""font-size:19px;"">first aid</span></strong></u><span style=""font-size:19px;""> alivyokua ameumua miguu kisha kumpeleka hospitalini Kwa daktari sikua na uwoga wowote.</span></span>"
Set5_Q6,Set 5,QID664,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q7,Set 5,QID539,"<span style=""font-size:19px;""><span style=""color:#000000;"">Kwa mara miingi mimi hutafuta daktari<strong><span style=""color:#e74c3c;""> </span></strong>ama </span><strong><span style=""color:#000000;""><u>nesi</u></span><span style=""color:#e74c3c;""> </span></strong><span style=""color:#000000;"">atakaye nieleza. Ama pia kwa mara miingi natumia chatgpt itakayo nielezea kwa ufasaha.</span></span>"
Set5_Q8,Set 5,QID540,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q9,Set 5,QID435,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nasikiza vipindi </span><u><strong><span style=""font-size:19px;"">kuhuzu</span></strong></u><span style=""font-size:19px;""><u> </u>mambo ya kiafya kwenye runinga. Naingia Kwa mtandao kusoma juu ya magonjwa yale yako mengi. Pia napenda kuhudhuria mikutano ya kiafya.</span></span>"
Set5_Q10,Set 5,QID436,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q11,Set 5,QID719,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nimesoma somo la </span></span><strong><u><span style=""color:#000000;""><span style=""font-size:19px;"">Biochemistry</span></span></u><span style=""color:#f39c12;""><span style=""font-size:19px;""> </span></span></strong><span style=""color:#000000;""><span style=""font-size:19px;"">katika chuo kikuu, kwa hivyo nina ufahamu zaidi kuhusu maneno ya afya.</span></span>"
Set5_Q12,Set 5,QID720,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q13,Set 5,QID523,"<span style=""color:#000000;""><span style=""font-size:19px;"">Tukio ambalo lilionyesha ujuzi wangu wa maswala ya afya au matibabu ni lile ambalo&nbsp;nili pima mamangu kiwango cha </span><u><strong><span style=""font-size:19px;"">presha</span></strong></u><span style=""font-size:19px;"">, nilipo mpima babangu kiwango cha sukari, na nilipo mfanyia kakangu huduma ya kwanza.</span></span>"
Set5_Q14,Set 5,QID524,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q15,Set 5,QID799,"<span style=""font-size:19px;""><span style=""color:#000000;"">Kutojua <u><strong>ghalama</strong></u> itakuwa aje, kutojua nini imesababisha ugojwa wa ghafla, kubadilika kwa hali yahewa isiyo tathiminiwa, ama magojwa yanayotokana na virusi</span></span>"
Set5_Q16,Set 5,QID455,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q17,Set 5,QID812,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ilitokana na mafunzo nilipata shuleni nilipokuwa nasoma katika shule ya <strong><u>secondari</u></strong>.</span></span>"
Set5_Q18,Set 5,QID813,Which option best describes the bolded and underlined word in the sentence above?
Set5_Q19,Set 5,QID756,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ni kwa hospital au pamasia kwenye karibu na ushago. Kingine ni kuangalia habari za afya kutoka Runinga, magazeti, inteneti na <u><strong>social media</strong></u>.</span></span>"
Set5_Q20,Set 5,QID757,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q1,Set 6,QID589,"<span style=""color:#000000;""><span style=""font-size:19px;"">Wakati wa safari ya </span><u><strong><span style=""font-size:19px;"">kambi</span></strong></u><span style=""font-size:19px;"">, rafiki yangu aliumia mguu. Nilitumia ujuzi wangu wa msaada wa kwanza kumfunga mguu na kumtuliza hadi msaada wa kitaalamu ulipofika.</span></span>"
Set6_Q2,Set 6,QID590,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q3,Set 6,QID671,"<span style=""color:#000000;""><span style=""font-size:19px;"">Dactari wangu na mwamini wakati mwigine ila kwa mambo ya </span><u><strong><span style=""font-size:19px;"">family planning</span></strong></u><span style=""font-size:19px;""> simuamini kwa sababu nilipata ujauzito baada ya kumeza p2.</span></span>"
Set6_Q4,Set 6,QID672,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q5,Set 6,QID414,"<span style=""color:#000000;""><span style=""font-size:19px;"">Dactari anaponifanyia </span><u><strong><span style=""font-size:19px;"">ujunguzi</span></strong></u><span style=""font-size:19px;""> wa afya yangu,ninaelewa na kufuatilia kwa kimakini jinsi ya kukula chakula Yenye afya nzuri</span></span>"
Set6_Q6,Set 6,QID415,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q7,Set 6,QID529,"<span style=""color:#000000;""><span style=""font-size:19px;"">Tamaa walio nayo wauguzi. <u><strong>Mashine</strong></u> za teknolojia wanazotumia, wengine hawajahitimu katika maswala ya afya.</span></span>"
Set6_Q8,Set 6,QID530,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q9,Set 6,QID691,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nlimfanyia </span><u><strong><span style=""font-size:19px;"">colleagues</span></strong></u><span style=""font-size:19px;""> huduma ya kwanza akawa sawa kabla ya kumfikisha hospitalini na kupata matibabu</span></span>"
Set6_Q10,Set 6,QID692,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q11,Set 6,QID569,"<span style=""font-size:19px;""><span style=""color:#000000;"">Ninaelewa kwamba vyakula vingi vinavyoliwa vina <u><strong>kalori</strong></u> nyingi, na ni muhimu kuhesabu <strong><u>kalori </u></strong>tunazokula mara kwa mara.</span></span>"
Set6_Q12,Set 6,QID570,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q13,Set 6,QID774,"<span style=""color:#000000;""><span style=""font-size:19px;"">Huwa nina wasiwasi ninapotuma kufamya scan ama x-ray juu huwa na jua ni mgojwa ambayo hangediagonise <strong><u>clinically</u></strong>.</span></span>"
Set6_Q14,Set 6,QID775,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q15,Set 6,QID563,"<span style=""color:#000000;""><span style=""font-size:19px;"">Ikiwa ulikula nusu ya </span><u><strong><span style=""font-size:19px;"">kontena</span></strong></u><span style=""font-size:19px;"">, basi uwezekano ulikula takriban gramu 6 za wanga, ingawa maelezo sahihi kutoka kwa lebo yangekuwa bora zaidi.</span></span>"
Set6_Q16,Set 6,QID564,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q17,Set 6,QID437,"<span style=""font-size:19px;"">Madaktari huaminika kwa kuwa huwa makini kwa matibabu ya kila <u><span style=""color:#000000;""><strong>mgojwa</strong></span></u> na uwakikisha wamepima vipimo vyote ilikujua umeugua <strong><u><span style=""color:#000000;"">ugojwa</span></u><span style=""color:#3498db;""> </span></strong>upi.</span>"
Set6_Q18,Set 6,QID438,Which option best describes the bolded and underlined word in the sentence above?
Set6_Q19,Set 6,QID647,"<span style=""color:#000000;""><span style=""font-size:19px;"">Simwamini <u><strong>Doctor</strong></u> wangu kwa matibabu, kwa sababu, sometimes kuna mambo anayoyafanya sielewi, kunipa Dawa nyingi.</span></span>"
Set6_Q20,Set 6,QID648,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q1,Set 7,QID559,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilipata maumivu ya </span><u><strong><span style=""font-size:19px;"">misuli</span></strong></u><span style=""font-size:19px;""><u><strong> </strong></u>na homa baada ya safari fulani. Nilienda hospitalini mara moja. Nilielewa ya kwamba inaweza kuwa Malaria.</span></span>"
Set7_Q2,Set 7,QID560,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q3,Set 7,QID677,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kuangalia </span><u><strong><span style=""font-size:19px;"">expiry date</span></strong></u><span style=""font-size:19px;""> ya dawa, Nilipokuwa nataka kukunywa dawa nilihakikisha nimepima ilivyofaa isiwe nyingi wala isiwe kidogo.</span></span>"
Set7_Q4,Set 7,QID678,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q5,Set 7,QID726,"<span style=""color:#000000;""><span style=""font-size:19px;"">Tamaa walio nayo wauguzi. Mashine za <strong><u>teknolojia</u></strong><span style=""color:#e74c3c;""><span style=""font-size:19px;""><strong> </strong></span></span>wanazotumia, wengine hawajahitimu katika maswala ya afya.</span></span>"
Set7_Q6,Set 7,QID727,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q7,Set 7,QID425,"<span style=""color:#000000;""><span style=""font-size:19px;"">Sipendi </span><u><strong><span style=""font-size:19px;"">shidano</span></strong></u><span style=""font-size:19px;""> na pia sijui dakitari ataniambia nikona ugonjwa upi na pia maisha yangu yatakuwa vipi baadaye na pia kama kuna uwezekano wa kupona alaka</span></span>"
Set7_Q8,Set 7,QID426,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q9,Set 7,QID601,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kujilinda kwa ubora ya hali ya juu kwa kupata lishe bora,kunywa maji safi na kulala ndani ya </span><u><strong><span style=""font-size:19px;"">neti</span></strong></u><span style=""font-size:19px;""> lililotibiwa.</span></span>"
Set7_Q10,Set 7,QID602,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q11,Set 7,QID713,"<span style=""color:#000000;""><span style=""font-size:19px;"">Sababu ni rafiki huenda </span><u><strong><span style=""font-size:19px;"">akanijudge</span></strong></u><span style=""font-size:19px;""> baada ya kujua shida nilizo nazo na akanitangaza kwa watu. Hiyo itanifanya nijichukie</span></span>"
Set7_Q12,Set 7,QID714,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q13,Set 7,QID619,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kupenda sana kuenda <u><strong>semina</strong></u> ambazo zinafunza kuhusu masuala ya afya. Daktari kunifunza jinsi ya kutumia dawa.</span></span>"
Set7_Q14,Set 7,QID620,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q15,Set 7,QID785,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilimpoteza mzazi 2015 nikifikiria ni asthmatic kumpeleka kwengine nikaambiwa ni </span><u><span style=""font-size:19px;""><strong>tumour</strong></span></u><span style=""font-size:19px;""> so si mwamini sana daktari.</span></span>"
Set7_Q16,Set 7,QID786,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q17,Set 7,QID454,"<span style=""font-size:19px;""><span style=""color:#000000;"">Niliaza kufanya mazoezi kila siku na kula usawa katika kila chakula ili kutunza afya njema ili </span><strong><u><span style=""color:#000000;"">kukambiliana</span></u><span style=""color:#3498db;""> </span></strong><span style=""color:#000000;"">na magonjwa.</span></span>"
Set7_Q18,Set 7,QID800,Which option best describes the bolded and underlined word in the sentence above?
Set7_Q19,Set 7,QID782,"<span style=""color:#000000;""><span style=""font-size:19px;"">Nilipokuwa nimepeleka mtoto clinic na alikuwa anahitaji <u><strong>supplement ya calcium</strong></u>,&nbsp;ielezwa chakmbavyo nilikuwa nafaa kumpa mtoto lakini nilimueleza.</span></span>"
Set7_Q20,Set 7,QID783,Which option best describes the bolded and underlined phrase in the sentence above?
Set8_Q1,Set 8,QID661,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kwa ufupi ama kwa erufi, mimi hutumia simu yangu ya <u><strong>smart phone</strong></u> ku google au kuingia kwa channeli ya youtube kutafuta maelezo</span></span>"
Set8_Q2,Set 8,QID662,Which option best describes the bolded and underlined word in the sentence above?
Set8_Q3,Set 8,QID531,"<span style=""color:#000000;""><span style=""font-size:19px;"">Kupata taarifa kuhuzu afya si ngumu, sababu juu ya <u><strong>technologia </strong></u>unahitaji tu kuuliza kwa mtandaonii.</span></span>"
Set8_Q4,Set 8,QID532,Which option best describes the bolded and underlined word in the sentence above?
Set8_Q5,Set 8,QID128,"<span style=""color:#000000;""><span style=""font-size:19px;"">Mimi na mashindano hatusikizani, fikra unijia <u><strong>nikisungumsa</strong></u> na daktari ni moja kuu, tafadhali ikue ugonjwa ya tembe tu. Kwangu heri tembe kuliko shindano.</span></span>"
